VC,Face,Step,Audio,Face_pic,Picture_one,Picture_two,Text_one,Text_two,wd/nonce,Group
aek,M,1,aleah-saek-shaek-1.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,2,aleah-saek-shaek-2.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,3,aleah-saek-shaek-3.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,4,aleah-saek-shaek-4.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,5,aleah-saek-shaek-5.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,6,aleah-saek-shaek-6.wav,male.png,sack.png,shack.png,sack,shack,w,A
aek,M,7,aleah-saek-shaek-7.wav,male.png,sack.png,shack.png,sack,shack,w,A
ot,M,1,aleah-sote-shote-1.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,2,aleah-sote-shote-2.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,3,aleah-sote-shote-3.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,4,aleah-sote-shote-4.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,5,aleah-sote-shote-5.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,6,aleah-sote-shote-6.wav,male.png,sote.png,shote.png,sote,shote,n,A
ot,M,7,aleah-sote-shote-7.wav,male.png,sote.png,shote.png,sote,shote,n,A
ut,M,1,aleah-sute-shute-1.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,2,aleah-sute-shute-2.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,3,aleah-sute-shute-3.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,4,aleah-sute-shute-4.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,5,aleah-sute-shute-5.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,6,aleah-sute-shute-6.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
ut,M,7,aleah-sute-shute-7.wav,male.png,suit.png,shoot.png,suit,shoot,w,A
eg,M,1,aleah-suke-shuke-1.wav,male.png,suke.png,shuke.png,suke,shuke,n,A
