VC,Audio,Face,Picture_one,Picture_two
�k,sack_shack_1.mp3,male.png,sack.png,shack.png
�k,sack_shack_2.mp3,male.png,sack.png,shack.png
�k,sack_shack_3.mp3,male.png,sack.png,shack.png
�k,sack_shack_4.mp3,male.png,sack.png,shack.png
�k,sack_shack_5.mp3,male.png,sack.png,shack.png
�k,sack_shack_6.mp3,male.png,sack.png,shack.png
�k,sack_shack_7.mp3,male.png,sack.png,shack.png
ot,sote_shote_1.mp3,male.png,sote.png,shote.png
ot,sote_shote_2.mp3,male.png,sote.png,shote.png
ot,sote_shote_3.mp3,male.png,sote.png,shote.png
ot,sote_shote_4.mp3,male.png,sote.png,shote.png
ot,sote_shote_5.mp3,male.png,sote.png,shote.png
ot,sote_shote_6.mp3,male.png,sote.png,shote.png
ot,sote_shote_7.mp3,male.png,sote.png,shote.png
ut,suit_shoot_1.mp3,male.png,suit.png,shoot.png
ut,suit_shoot_2.mp3,male.png,suit.png,shoot.png
ut,suit_shoot_3.mp3,male.png,suit.png,shoot.png
ut,suit_shoot_4.mp3,male.png,suit.png,shoot.png
ut,suit_shoot_5.mp3,male.png,suit.png,shoot.png
ut,suit_shoot_6.mp3,male.png,suit.png,shoot.png
ut,suit_shoot_7.mp3,male.png,suit.png,shoot.png
eg,seg_sheg_1.mp3,male.png,seg.png,sheg.png
eg,seg_sheg_2.mp3,male.png,seg.png,sheg.png
eg,seg_sheg_3.mp3,male.png,seg.png,sheg.png
eg,seg_sheg_4.mp3,male.png,seg.png,sheg.png
eg,seg_sheg_5.mp3,male.png,seg.png,sheg.png
eg,seg_sheg_6.mp3,male.png,seg.png,sheg.png
eg,seg_sheg_7.mp3,male.png,seg.png,sheg.png
�k,sack_shack_1.mp3,female.png,sack.png,shack.png
�k,sack_shack_2.mp3,female.png,sack.png,shack.png
�k,sack_shack_3.mp3,female.png,sack.png,shack.png
�k,sack_shack_4.mp3,female.png,sack.png,shack.png
�k,sack_shack_5.mp3,female.png,sack.png,shack.png
�k,sack_shack_6.mp3,female.png,sack.png,shack.png
�k,sack_shack_7.mp3,female.png,sack.png,shack.png
ot,sote_shote_1.mp3,female.png,sote.png,shote.png
ot,sote_shote_2.mp3,female.png,sote.png,shote.png
ot,sote_shote_3.mp3,female.png,sote.png,shote.png
ot,sote_shote_4.mp3,female.png,sote.png,shote.png
ot,sote_shote_5.mp3,female.png,sote.png,shote.png
ot,sote_shote_6.mp3,female.png,sote.png,shote.png
ot,sote_shote_7.mp3,female.png,sote.png,shote.png
ut,suit_shoot_1.mp3,female.png,suit.png,shoot.png
ut,suit_shoot_2.mp3,female.png,suit.png,shoot.png
ut,suit_shoot_3.mp3,female.png,suit.png,shoot.png
ut,suit_shoot_4.mp3,female.png,suit.png,shoot.png
ut,suit_shoot_5.mp3,female.png,suit.png,shoot.png
ut,suit_shoot_6.mp3,female.png,suit.png,shoot.png
ut,suit_shoot_7.mp3,female.png,suit.png,shoot.png
eg,seg_sheg_1.mp3,female.png,seg.png,sheg.png
eg,seg_sheg_2.mp3,female.png,seg.png,sheg.png
eg,seg_sheg_3.mp3,female.png,seg.png,sheg.png
eg,seg_sheg_4.mp3,female.png,seg.png,sheg.png
eg,seg_sheg_5.mp3,female.png,seg.png,sheg.png
eg,seg_sheg_6.mp3,female.png,seg.png,sheg.png
eg,seg_sheg_7.mp3,female.png,seg.png,sheg.png
�k,sack_shack_1.mp3,silhouette.png,sack.png,shack.png
�k,sack_shack_2.mp3,silhouette.png,sack.png,shack.png
�k,sack_shack_3.mp3,silhouette.png,sack.png,shack.png
�k,sack_shack_4.mp3,silhouette.png,sack.png,shack.png
�k,sack_shack_5.mp3,silhouette.png,sack.png,shack.png
�k,sack_shack_6.mp3,silhouette.png,sack.png,shack.png
�k,sack_shack_7.mp3,silhouette.png,sack.png,shack.png
ot,sote_shote_1.mp3,silhouette.png,sote.png,shote.png
ot,sote_shote_2.mp3,silhouette.png,sote.png,shote.png
ot,sote_shote_3.mp3,silhouette.png,sote.png,shote.png
ot,sote_shote_4.mp3,silhouette.png,sote.png,shote.png
ot,sote_shote_5.mp3,silhouette.png,sote.png,shote.png
ot,sote_shote_6.mp3,silhouette.png,sote.png,shote.png
ot,sote_shote_7.mp3,silhouette.png,sote.png,shote.png
ut,suit_shoot_1.mp3,silhouette.png,suit.png,shoot.png
ut,suit_shoot_2.mp3,silhouette.png,suit.png,shoot.png
ut,suit_shoot_3.mp3,silhouette.png,suit.png,shoot.png
ut,suit_shoot_4.mp3,silhouette.png,suit.png,shoot.png
ut,suit_shoot_5.mp3,silhouette.png,suit.png,shoot.png
ut,suit_shoot_6.mp3,silhouette.png,suit.png,shoot.png
ut,suit_shoot_7.mp3,silhouette.png,suit.png,shoot.png
eg,seg_sheg_1.mp3,silhouette.png,seg.png,sheg.png
eg,seg_sheg_2.mp3,silhouette.png,seg.png,sheg.png
eg,seg_sheg_3.mp3,silhouette.png,seg.png,sheg.png
eg,seg_sheg_4.mp3,silhouette.png,seg.png,sheg.png
eg,seg_sheg_5.mp3,silhouette.png,seg.png,sheg.png
eg,seg_sheg_6.mp3,silhouette.png,seg.png,sheg.png
eg,seg_sheg_7.mp3,silhouette.png,seg.png,sheg.png
